time,Bitnodes,Bitnodes Ban,DNS,DNS Ban,Common,Common Ban
1585779211,7943,436,6729,342,6201,331
1585781199,7943,436,6705,349,6171,338
1585782515,7943,436,6705,349,6171,338
1585782836,7943,436,6750,346,6229,335
1585790313,7912,435,6777,346,6247,336
1585845499,7928,440,6755,346,6188,337
1585853408,7926,443,6818,349,6218,338
1585953775,7893,440,6759,340,6234,333
1585962186,7836,439,6775,348,6196,340
1585963166,7836,439,6758,344,6204,336
1585964199,7836,439,6758,344,6204,336
1585966224,7836,439,6724,343,6177,335
1585967258,7836,439,6724,343,6177,335
1585972491,7853,439,6795,349,6245,341
1585973643,7853,439,6794,349,6244,341
1586030134,7930,445,6766,351,6195,342
1586044381,7870,444,6801,355,6221,341
1586056350,7827,433,6734,348,6132,335
1586073855,7857,437,6724,341,6162,330
1586088002,7888,442,6713,342,6147,333
1586102402,7908,447,6739,343,6169,332
1586104624,7908,447,6746,346,6171,334
1586121253,7900,445,6800,351,6226,339
1586121483,7900,445,6800,351,6226,339
1586131431,7936,435,6853,350,6309,338
1586155010,7826,431,6772,344,6176,328
1586167201,7869,436,6774,339,6192,327
1586177320,7864,434,6762,340,6190,332
1586186256,7901,434,6774,333,6208,329
1586188890,7881,431,6833,342,6235,331
1586189887,7881,431,6833,342,6235,331
1586202381,7918,438,6878,336,6307,329
1586202749,7906,438,6878,336,6280,326
1586203423,7906,438,6878,336,6280,326
1586204214,7906,438,6777,342,6205,330
1586206459,7906,438,6776,342,6204,330
1586208849,7906,438,6811,335,6231,327
1586222024,7799,435,6796,337,6176,327
1586233074,7834,430,6868,335,6259,322
1586246402,7843,428,6716,332,6138,321
1586260801,7852,437,6747,343,6189,334
1586275202,7876,435,6826,349,6248,339
1586288569,7924,434,6791,349,6245,340
1586297783,7895,437,6793,349,6235,338
1586298821,7895,437,6838,344,6272,333
1586301713,7895,437,6837,344,6271,333
1586305778,7808,441,6754,334,6134,328
1586307670,7867,441,6752,333,6191,327
1586308413,7867,441,6751,333,6190,327
1586310874,7818,440,6781,336,6144,329
1586320458,7848,437,6831,345,6237,338
1586351760,7855,438,6773,343,6189,335
1586361602,7902,436,6815,343,6239,336
1586368643,7909,437,6849,348,6245,340
1586379440,7929,441,6819,337,6243,334
1586389796,7837,424,6770,327,6169,313
1586399665,7834,430,6788,331,6212,322
1586408270,7800,423,6780,340,6184,327
1586416485,7821,426,6739,334,6172,327
1586424832,7863,425,6772,337,6201,323
1586432961,7869,428,6752,318,6181,312
1586441183,7889,426,6724,325,6150,313
1586449401,7877,434,6821,333,6222,324
1586457662,7904,441,6779,324,6199,316
1586466115,7875,439,6853,337,6262,329
1586474420,7811,428,6752,332,6146,319
1586483177,7804,430,6699,340,6127,329
1586491169,7751,433,6684,339,6089,330
1586498905,7774,437,6700,334,6108,327
1586506268,7815,430,6667,335,6120,321
1586514216,7832,438,6636,341,6108,329
1586521651,7802,440,6739,335,6165,326
1586529177,7824,436,6670,340,6096,325
1586539343,7834,443,6685,343,6117,329
1586552373,7866,443,6703,326,6154,318
1586559795,7848,431,6803,341,6244,322
1586567252,7834,424,6643,330,6114,312
1586574344,7812,428,6712,322,6140,314
1586581753,7791,431,6657,317,6085,312
1586589137,7771,429,6681,331,6088,320
1586596691,7841,432,6625,330,6094,322
1586605638,7810,434,6641,332,6054,324
1586613026,7903,434,6738,328,6207,319
1586620352,7885,444,6705,337,6152,329
1586627625,7894,443,6733,332,6177,324
1586636959,7855,448,6742,344,6148,337
1586644617,7874,436,6729,344,6155,331
1586653641,7826,438,6720,344,6158,334
1586663608,7800,439,6710,340,6126,330
1586676254,7802,437,6690,337,6148,322
1586686289,7802,450,6690,337,6148,322
1586731736,7802,439,6450,310,5918,304
1586742843,7822,430,6274,304,5762,299
1586754626,7823,432,6353,304,5868,300
1586757742,7831,430,6629,328,6102,322
1586768406,7874,430,6742,335,6212,327
1586785906,7850,433,6791,343,6205,332
1586799158,7870,445,6649,343,6091,332
1586809599,7805,444,6684,348,6077,337
1586821486,7781,427,6772,347,6161,332
1586837125,7813,434,6753,343,6160,330
1586850712,7812,434,6620,352,6053,339
1586861007,7822,439,6639,342,6078,331
1586869181,7845,439,6624,334,6046,319
1586878443,7833,436,6627,342,6050,327
1586887341,7825,440,6632,339,6022,325
1586897320,7833,438,6623,346,6035,330
1586908298,7794,437,6559,349,5984,334
1586918594,7784,441,6561,349,5999,344
1586927495,7779,435,6617,346,6056,337
1586937854,7782,436,6574,337,6025,328
1586947514,7814,433,6588,345,6061,337
1586957866,7798,432,6572,340,6033,329
1586966865,7813,436,6549,341,6035,335
1586975386,7816,438,6569,338,6037,330
1586984245,7772,439,6602,341,6032,336
1586992796,7782,428,6616,346,6063,328
1587002960,7756,426,6535,341,5992,326
1587012519,7724,426,6634,342,6054,328
1587021149,7704,427,6660,343,6076,327
1587030425,7750,434,6655,346,6092,332
1587039816,7756,439,6639,355,6057,341
1587048380,7788,441,6658,363,6128,345
1587057290,7811,441,6628,361,6102,345
1587066295,7816,444,6580,347,6042,334
1587074656,7810,442,6612,350,6073,340
1587081485,7811,432,6619,343,6099,333
1587087061,7802,428,6601,337,6070,325
1587091973,7741,429,6698,350,6097,334
1587125478,7781,427,6673,341,6102,329
1587159154,7821,446,6630,344,6100,333
1587193084,7766,432,6624,338,6075,324
1587227575,7853,438,6716,344,6204,333
1587263056,7795,442,6696,340,6142,331
1587263988,7795,442,6696,340,6142,331
1587299765,7884,458,6679,335,6150,328
1587340049,7850,450,6654,331,6132,318
1587364632,7824,441,6561,335,6037,323
1587399633,7883,445,6593,336,6085,326
1587409287,7879,448,6604,332,6049,321
1587445034,7791,444,6578,328,6020,323
1587480559,7807,445,6640,339,6090,329
1587515557,7790,438,6555,331,6019,318
1587552185,7766,440,6635,332,6077,324
1587592999,7757,442,6630,338,6023,326
1587628292,7536,432,6575,341,5887,325
1587662835,7650,433,6442,327,5929,317
1587698642,7543,444,6403,337,5861,326
1587699602,7543,444,6403,337,5861,326
1587736506,7636,444,6448,349,5940,335
1587772696,7572,445,6430,345,5890,334
1587809090,7614,449,6430,351,5879,339
1587845103,7661,464,6508,348,5958,332
1587849899,7638,459,6408,338,5855,324
1587887006,7560,442,6306,338,5804,321
1587926546,7629,452,6457,345,5911,335
1587963185,7537,450,6458,354,5903,344
1587999940,7501,447,6504,354,5914,337
1588037192,7493,440,6430,342,5883,329
1588073425,7482,439,6403,342,5844,328
1588114997,7574,441,6428,343,5899,330
1588159592,7585,446,6475,342,5959,330
1588207945,7539,449,6276,336,5747,323
1588257681,7628,447,6362,337,5846,328
1588306684,7550,450,6434,339,5890,331
1588357369,7299,437,6442,345,5848,325
1588406392,7410,426,6445,338,5904,323
1588454808,7295,423,6423,327,5829,314
1588503745,7358,432,6457,327,5879,315
1588549892,7364,430,6427,330,5852,318
1589487728,7613,450,6538,355,5955,342
1589522724,7518,451,6426,343,5869,335
1589557293,7675,453,6510,351,5903,340
1589592472,7605,449,6449,339,5935,325
1589627905,7642,454,6515,350,5993,336
1589665099,7728,457,6474,340,5982,329
1589700968,7605,446,6438,350,5930,340
1589737436,7382,447,6487,355,5857,344
1589772847,7423,438,6463,359,5875,338
1589808782,7512,445,6591,359,5954,343
1589844794,7667,447,6583,345,6015,329
1589882275,7672,447,6622,356,6020,341
1589918898,7735,444,6602,353,6022,334
1589953287,7603,432,6486,349,5870,329
1589988102,7723,434,6324,339,5840,321
1590021831,7666,439,6608,352,6059,335
1590058611,7691,429,6554,352,6033,327
1590093815,7686,441,6607,349,6047,331
1590131151,7685,425,6659,347,6089,328
1590167745,7765,432,6493,343,5963,322
1590204591,7682,428,6560,338,5980,321
1590241937,7711,429,6580,345,6016,330
1590278781,7714,433,6546,337,5995,322
1590871077,7757,440,6650,345,6123,330
1590906217,7698,436,6609,330,6091,315
1590942063,7740,443,6591,338,6085,323
1590977585,7703,434,6588,335,6048,321
1591012662,7767,437,6644,347,6127,333
1591047336,7736,441,6575,338,6054,325
1591082268,7646,442,6540,339,5973,326
1591116910,7763,448,6673,339,6161,326
1591152473,7668,446,6646,333,6086,320
1591187757,7650,447,6669,350,6098,333
1591223152,7660,451,6556,345,5989,328
1591258528,7629,450,6538,342,6018,328
1591293676,7694,456,6583,335,6014,319
1591329660,7640,450,6656,352,6093,338
1591365915,7693,449,6652,347,6115,334
1591401560,7634,447,6551,343,5988,329
1591494195,7670,442,6621,340,6051,327
1591529654,7706,438,6652,345,6124,332
1591564302,7772,447,6608,339,6078,329
1591599005,7657,435,6571,345,6019,333
1591633298,7728,444,6666,359,6130,340
1591667367,7618,437,6701,356,6115,338
1591702545,7687,435,6638,346,6109,330
1591738054,7693,435,6650,349,6075,335
1591773663,7616,427,6567,338,5996,321
1591808655,7660,429,6600,340,6035,322
1591843335,7604,432,6684,345,6071,326
1591878466,7674,446,6638,352,6067,338
1591912742,7608,442,6593,351,5987,336
1591947725,7565,437,6556,342,5963,326
1591982941,7683,447,6584,352,6079,330
1592017817,7602,441,6557,345,6004,328
1592053543,7623,445,6555,358,6007,345
1592087769,7625,451,6671,356,6088,340
1592122492,7656,447,6564,356,6048,340
1592157135,7679,448,6623,359,6073,344
1592192014,7658,434,6668,349,6125,332
1592228690,7690,434,6592,349,6036,335
1592262434,7693,441,6603,346,6073,331
1592297037,7520,435,6576,351,5957,336
1592331802,7669,439,6600,354,6064,335
1592365392,7631,441,6676,356,6132,335
1592399986,7693,432,6558,347,6036,334
1592433970,7666,442,6625,346,6070,331
1592468955,7633,435,6549,335,6005,321
1592503300,7689,432,6569,339,6025,324
1592536467,7649,438,6614,347,6078,332
1592570917,7681,435,6635,345,6110,330
1592605882,7693,440,6478,342,5981,328
1592640040,7645,437,6535,345,6007,330
1592673963,7692,442,6621,349,6084,331
1592708920,7650,440,6621,347,6124,334
1592743478,7639,439,6611,351,6055,336
1592777873,7689,451,6639,347,6110,331
1592812029,7627,443,6540,352,6014,334
