time,reachable
1585790313,8441
1585845499,8495
1585973643,6846
1586030134,8498
1586044381,8447
1586056350,8426
1586104624,8480
1586121483,8471
1586131431,8477
1586188890,8476
1586208849,8483
1586222024,8416
1586233074,8440
1586275202,8451
1586288569,8467
1586310874,7180
1586351760,8436
1586368643,8510
1586379440,8502
1586389796,8435
1586399665,8407
1586408270,8393
1586416485,8385
1586424832,8431
1586432961,8437
1586441183,8460
1586449401,8473
1586457662,8481
1586466115,8463
1586474420,8414
1586483177,8373
1586491169,8343
1586498905,8363
1586506268,8359
1586514216,8357
1586521651,8373
1586529177,8395
1586539343,8399
1586552373,8412
1586559795,8404
1586567252,8360
1586574344,8381
1586581753,8360
1586589137,8361
1586596691,8369
1586605638,8394
1586613026,8431
1586620352,8435
1586627625,8447
1586636959,8446
1586644617,8445
1586653641,8385
1586663608,8381
1586676254,8341
1586686289,8365
1586714764,7815
1586731736,8331
1586742843,8331
1586757742,8355
1586785906,8433
1586799158,8425
1586821486,8389
1586837125,8403
1586850712,8376
1586861007,8380
1586869181,8420
1586878443,8407
1586887341,8432
1586897320,8418
1586908298,8366
1586918594,8343
1586927495,8337
1586937854,8328
1586947514,8338
1586957866,8334
1586966865,8324
1586975386,8345
1586984245,8339
1586992796,8332
1587002960,8296
1587012519,8301
1587021149,8285
1587030425,8310
1587039816,8335
1587048380,8315
1587057290,8334
1587066295,8351
1587091973,8339
1587125478,8349
1587159154,8348
1587193084,8312
1587227575,8362
1587263988,8346
1587299765,8410
1587364632,8345
1587409287,8431
1587445034,8346
1587480559,8354
1587515557,8323
1587552185,8321
1587592999,8361
1587628292,8221
1587662835,8160
1587699602,8082
1587736506,8141
1587772696,8109
1587809090,8162
1587849899,8188
1587887006,8059
1587926546,8172
1587963185,8089
1587999940,8088
1588037192,8037
1588073425,8038
1588114997,8100
1588159592,8098
1588207945,8065
1588257681,8141
1588306684,8091
1588357369,7890
1588406392,7948
1588454808,7886
1588503745,7933
1589487728,8193
1589522724,8072
1589557293,8279
1589592472,8116
1589627905,8161
1589665099,8217
1589700968,8110
1589737436,8009
1589772847,8008
1589808782,8146
1589844794,8232
1589882275,8271
1589918898,8312
1589953287,8216
1589988102,8204
1590021831,8212
1590058611,8209
1590093815,8243
1590131151,8252
1590167745,8292
1590204591,8259
1590241937,8272
1590871077,8281
1590906217,8213
1590942063,8243
1590977585,8240
1591012662,8281
1591047336,8254
1591082268,8210
1591116910,8272
1591152473,8225
1591187757,8218
1591223152,8224
1591258528,8146
1591293676,8260
1591329660,8200
1591365915,8227
1591494195,8237
1591529654,8231
1591564302,8299
1591599005,8206
1591633298,8261
1591667367,8201
1591702545,8213
1591738054,8265
1591773663,8184
1591808655,8222
1591843335,8214
1591878466,8242
1591912742,8211
1591947725,8155
1591982941,8185
1592017817,8152
1592053543,8168
1592087769,8205
1592122492,8169
1592157135,8226
1592192014,8198
1592228690,8243
1592262434,8220
1592297037,8136
1592331802,8202
1592365392,8172
1592399986,8212
1592433970,8218
1592468955,8174
1592503300,8230
1592536467,8182
1592570917,8203
1592605882,8187
1592640040,8170
1592673963,8226
1592708920,8144
1592743478,8192
1592777873,8215
